sector,anio,vbp_macro
Servicios inmobiliarios con bienes propios y arrendados,2016,296091.8737471722
Servicios inmobiliarios con bienes propios y arrendados,2017,410065.04647324706
Servicios inmobiliarios con bienes propios y arrendados,2018,607600.63589763
Servicios inmobiliarios con bienes propios y arrendados,2019,805245.8194261772
Servicios inmobiliarios con bienes propios y arrendados,2020,1037177.05034586
Servicios inmobiliarios con bienes propios y arrendados,2021,1461008.9907697896
Servicios inmobiliarios con bienes propios y arrendados,2022,2391109.6380000003
Resto,2016,786180.6449736397
Resto,2017,1069533.0469188434
Resto,2018,1528286.4933911632
Resto,2019,2317868.429221878
Resto,2020,2813110.932879616
Resto,2021,4903254.675662559
Resto,2022,9118810.005299998
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2016,873805.9782998245
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2017,1130603.8834093285
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2018,1447169.01823894
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2019,2045971.9461429701
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2020,2534633.80871013
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2021,4160518.8726375494
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2022,7494230.523
Enseñanza,2016,547270.3201088412
Enseñanza,2017,707272.62577099
Enseñanza,2018,919465.8017063369
Enseñanza,2019,1330882.4812536854
Enseñanza,2020,1726204.848246133
Enseñanza,2021,2589578.599910016
Enseñanza,2022,4676943.7349
Enseñanza Pública,2016,376505.8151136938
Enseñanza Pública,2017,481722.06618958176
Enseñanza Pública,2018,616716.8671103119
Enseñanza Pública,2019,886835.507013921
Enseñanza Pública,2020,1152595.01037149
Enseñanza Pública,2021,1729945.9249976298
Enseñanza Pública,2022,3141693.9969999995
Enseñanza Privada,2016,170764.5049951474
Enseñanza Privada,2017,225550.5595814083
Enseñanza Privada,2018,302748.934596025
Enseñanza Privada,2019,444046.9742397643
Enseñanza Privada,2020,573609.8378746429
Enseñanza Privada,2021,859632.674912386
Enseñanza Privada,2022,1535249.7379
Servicios sociales y de salud,2016,659689.4983410652
Servicios sociales y de salud,2017,876721.8095575976
Servicios sociales y de salud,2018,1148322.889226029
Servicios sociales y de salud,2019,1619699.8022442749
Servicios sociales y de salud,2020,1999043.0898959418
Servicios sociales y de salud,2021,3395943.553271119
Servicios sociales y de salud,2022,5813530.569529999
Salud Pública,2016,165531.66806705674
Salud Pública,2017,217489.85504659874
Salud Pública,2018,280628.174
Salud Pública,2019,408720.79171267204
Salud Pública,2020,564952.278173863
Salud Pública,2021,994580.5148129191
Salud Pública,2022,1529033.625
Salud Privada,2016,494157.8302740085
Salud Privada,2017,659231.9545109989
Salud Privada,2018,867694.7152260289
Salud Privada,2019,1210979.010531603
Salud Privada,2020,1434090.8117220788
Salud Privada,2021,2401363.0384582
Salud Privada,2022,4284496.944529999
"Otras actividades de servicios comunitarias, sociales y personales",2016,429968.1027186398
"Otras actividades de servicios comunitarias, sociales y personales",2017,562400.7664509957
"Otras actividades de servicios comunitarias, sociales y personales",2018,703827.0668622948
"Otras actividades de servicios comunitarias, sociales y personales",2019,1003970.0983896361
"Otras actividades de servicios comunitarias, sociales y personales",2020,928846.0891215403
"Otras actividades de servicios comunitarias, sociales y personales",2021,1790173.5929369407
"Otras actividades de servicios comunitarias, sociales y personales",2022,3350967.74877
"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares",2016,55667.33442397669
"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares",2017,76071.20874161104
"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares",2018,103838.386659027
"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares",2019,157371.91688866404
"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares",2020,205528.48579491506
